Address	Function	Instruction
__text:0000000100167A70	sub_1001679D0	FMOV            S10, #1.5
__text:000000010017A0A0	sub_100179FD0	FMOV            S9, #1.5
__text:0000000100181DB8	sub_100181B00	FMOV            D0, #1.5
__text:0000000100181F74	sub_100181B00	FMOV            S1, #1.5
__text:0000000100184D58	sub_100184D00	FMOV            S8, #1.5
__text:00000001001854C4	sub_1001852EC	FMOV            S11, #1.5
__text:0000000100185570	sub_1001852EC	FMOV            V0.2S, #1.5
__text:000000010018582C	sub_1001852EC	FMOV            S1, #1.5
__text:0000000100188B7C	sub_100188A80	FMOV            S1, #1.5
__text:00000001001A2104	sub_1001A2040	FMOV            S1, #1.5
__text:00000001001A2304	sub_1001A2040	FMOV            V11.2S, #1.5
__text:00000001001A7508	sub_1001A7434	FMOV            S9, #1.5
__text:00000001001ABA7C	sub_1001AB928	FMOV            S1, #1.5
__text:00000001001ABAE8	sub_1001AB928	FMOV            S0, #1.5
__text:00000001001ABB10	sub_1001AB928	FMOV            V0.2S, #1.5
__text:00000001001ABD84	sub_1001AB928	FMOV            S1, #1.5
__text:00000001001F1AC4	sub_1001F0F1C	FMOV            S1, #1.5
__text:00000001001F5324	sub_1001F52C8	FMOV            V9.2S, #1.5
__text:00000001001F5550	sub_1001F54DC	FMOV            V9.2S, #1.5
__text:000000010020942C	sub_1002093D8	FMOV            S1, #1.5
__text:0000000100209928	sub_10020979C	FMOV            V0.2S, #1.5
__text:000000010020C3C0	sub_10020C2E0	FMOV            V12.2S, #1.5
__text:000000010021EE34	sub_10021EDC0	FMOV            S1, #1.5
__text:000000010021EE70	sub_10021EDC0	FMOV            S15, #1.5
__text:000000010021EE88	sub_10021EDC0	FMOV            S2, #1.5
__text:0000000100222214	sub_10021EDC0	FMOV            S2, #1.5
__text:0000000100236EEC	sub_100233518	FMOV            S8, #1.5
__text:000000010023E204	sub_100239B18	FMOV            S1, #1.5
__text:000000010023E340	sub_100239B18	FMOV            S1, #1.5
__text:00000001002405A8	sub_100240400	FMOV            S1, #1.5
__text:0000000100240728	sub_100240400	FMOV            S1, #1.5
__text:00000001002442E0	sub_100244214	FMOV            S1, #1.5
__text:0000000100245160	sub_100245064	FMOV            S0, #1.5
__text:00000001002457B4	sub_1002454D0	FMOV            S0, #1.5
__text:0000000100246A88	sub_100246A10	FMOV            S0, #1.5
__text:0000000100246AA0	sub_100246A10	FMOV            S0, #1.5
__text:00000001002474F0	sub_1002474C8	FMOV            S0, #1.5
__text:0000000100249CB0	sub_1002493B4	FMOV            S1, #1.5
__text:0000000100249EA0	sub_1002493B4	FMOV            S1, #1.5
__text:000000010024B0B4	sub_10024B034	FMOV            S1, #1.5
__text:000000010024B2BC	sub_10024B034	FMOV            S1, #1.5
__text:000000010024B6D4	sub_10024B568	FMOV            S1, #1.5
__text:000000010024C844	sub_10024C148	FMOV            S0, #1.5
__text:000000010024D758	sub_10024D628	FMOV            S0, #1.5
__text:000000010024E698	sub_10024E2F0	FMOV            S10, #1.5
__text:0000000100251210	sub_100250E08	FMOV            S0, #1.5
__text:0000000100254B4C	sub_1002541E4	FMOV            S10, #1.5
__text:000000010025AB8C	sub_10025A9C4	FMOV            S2, #1.5
__text:000000010025AD70	sub_10025ABB8	FMOV            V0.2S, #1.5
__text:000000010025B3AC	sub_10025ABB8	FMOV            S8, #1.5
__text:000000010025B8AC	sub_10025ABB8	FMOV            S2, #1.5
__text:000000010025E128	sub_10025D738	FMOV            S1, #1.5
__text:000000010025E1E4	sub_10025D738	FMOV            S1, #1.5
__text:0000000100268D20	sub_100268CB0	FMOV            S1, #1.5
__text:000000010026D010	sub_10026CC7C	FMOV            S1, #1.5
__text:000000010027A91C	sub_10027A80C	FMOV            S2, #1.5
__text:00000001002886C8	sub_100288658	FMOV            S1, #1.5
__text:0000000100290DC0	sub_100290D80	FMOV            S1, #1.5
__text:00000001002916E8	sub_100291648	FMOV            V8.2S, #1.5
__text:0000000100291888	sub_100291788	FMOV            V8.2S, #1.5
__text:00000001002919C4	sub_100291920	FMOV            V10.2S, #1.5
__text:0000000100291E70	sub_100291DBC	FMOV            V10.2S, #1.5
__text:0000000100291FAC	sub_100291DBC	FMOV            S10, #1.5
__text:00000001002922D8	sub_100292140	FMOV            S0, #1.5
__text:0000000100292358	sub_100292140	FMOV            S1, #1.5
__text:000000010029959C	sub_100299470	FMOV            S1, #1.5
__text:000000010029DB98	sub_10029DB4C	FMOV            S1, #1.5
__text:00000001002A05C8	sub_10029F780	FMOV            S1, #1.5
__text:00000001002A1968	sub_10029F780	FMOV            S0, #1.5
__text:00000001002BD150	sub_1002BCFB4	FMOV            S2, #1.5
__text:00000001002BD37C	sub_1002BD314	FMOV            S10, #1.5
__text:00000001002BD8BC	sub_1002BD888	FMOV            S1, #1.5
__text:00000001002CB82C	sub_1002CB7A8	FMOV            S0, #1.5
__text:00000001002CB83C	sub_1002CB7A8	FMOV            S0, #1.5
__text:00000001002CF0DC	sub_1002CF078	FMOV            S11, #1.5
__text:00000001002D1D34	sub_1002D1B78	FMOV            S1, #1.5
__text:00000001002D60CC	sub_1002D5CCC	FMOV            S1, #1.5
__text:00000001002DBA20	sub_1002DB9C0	FMOV            S0, #1.5
__text:00000001002E0858	sub_1002E0728	FMOV            S1, #1.5
__text:00000001002E08F8	sub_1002E0728	FMOV            S1, #1.5
__text:00000001002F3EBC	sub_1002F3D70	FMOV            S9, #1.5
__text:00000001002FDB30	sub_1002FD504	FMOV            S0, #1.5
__text:00000001002FEC00	sub_1002FE6A4	FMOV            S9, #1.5
__text:000000010030372C	sub_1003035BC	FMOV            S1, #1.5
__text:000000010030A8E8	sub_10030A878	FMOV            S1, #1.5
__text:000000010033E4F4	sub_10033E448	FMOV            S1, #1.5
