Address	Function	Instruction
__text:000000010001935C	sub_100019240	FMOV            S1, #1.5
__text:00000001000196F8	sub_100019240	FMOV            S1, #1.5
__text:000000010001FF9C	sub_10001FF08	FMOV            S1, #1.5
__text:00000001000290A4	sub_10002908C	FMOV            S1, #1.5
__text:000000010002BB14	sub_10002B22C	FMOV            S1, #1.5
__text:000000010002BB50	sub_10002B22C	FMOV            S1, #1.5
__text:000000010002BDCC	sub_10002B22C	FMOV            S1, #1.5
__text:000000010002CDF4	sub_10002BF0C	FMOV            S8, #1.5
__text:000000010002CE38	sub_10002BF0C	FMOV            S0, #1.5
__text:000000010002DECC	sub_10002BF0C	FMOV            S2, #1.5
__text:000000010002E648	sub_10002BF0C	FMOV            S6, #1.5
__text:000000010002ED00	sub_10002EA98	FMOV            V0.2S, #1.5
__text:000000010002EF14	sub_10002EA98	FMOV            S2, #1.5
__text:000000010002F000	sub_10002EA98	FMOV            V0.2S, #1.5
__text:000000010002F22C	sub_10002EA98	FMOV            S2, #1.5
__text:000000010002FD28	sub_10002F4A4	FMOV            V0.2S, #1.5
__text:000000010002FD68	sub_10002F4A4	FMOV            S2, #1.5
__text:0000000100037974	sub_1000377F0	FMOV            S1, #1.5
__text:000000010003B180	sub_10003B10C	FMOV            S1, #1.5
__text:000000010003B668	sub_10003B558	FMOV            S3, #1.5
__text:000000010003D4DC	sub_10003D46C	FMOV            S1, #1.5
__text:000000010003EDB8	sub_10003EBA8	FMOV            V0.2S, #1.5
__text:000000010003F8CC	sub_10003F83C	FMOV            S0, #1.5
__text:0000000100044E24	sub_1000449AC	FMOV            S0, #1.5
__text:00000001000450E0	sub_1000449AC	FMOV            S1, #1.5
__text:00000001000459F8	sub_100045898	FMOV            S1, #1.5
__text:0000000100045A98	sub_100045898	FMOV            S1, #1.5
__text:0000000100045CE4	sub_100045898	FMOV            S1, #1.5
__text:000000010004A278	sub_100049C30	FMOV            S0, #1.5
__text:000000010004A5C8	sub_10004A514	FMOV            S14, #1.5
__text:000000010004B74C	sub_10004B34C	FMOV            S2, #1.5
__text:000000010004C1C4	sub_10004BA50	FMOV            S0, #1.5
__text:000000010004C57C	sub_10004C364	FMOV            V0.2S, #1.5
__text:000000010004CE74	sub_10004CD20	FMOV            S1, #1.5
__text:000000010004D05C	sub_10004CD20	FMOV            S1, #1.5
__text:000000010004D2A0	sub_10004CD20	FMOV            S1, #1.5
__text:00000001000506A8	sub_100050528	FMOV            S1, #1.5
__text:0000000100053044	sub_100052958	FMOV            S0, #1.5
__text:000000010006158C	sub_100061388	FMOV            S0, #1.5
__text:000000010006BA38	sub_10006B968	FMOV            S2, #1.5
__text:0000000100071FB0	sub_100071F3C	FMOV            S1, #1.5
__text:000000010007511C	sub_100074F7C	FMOV            S1, #1.5
__text:0000000100077804	sub_100077704	FMOV            S11, #1.5
__text:000000010007A628	sub_10007A520	FMOV            V1.2S, #1.5
__text:000000010008250C	sub_100082388	FMOV            S1, #1.5
__text:0000000100094878	sub_1000945BC	FMOV            V8.2S, #1.5
__text:00000001000BD240	sub_1000BCFEC	FMOV            S1, #1.5
__text:00000001000C26D8	sub_1000C2344	FMOV            S1, #1.5
__text:00000001000D4B70	sub_1000D4B44	FMOV            S8, #1.5
__text:00000001000D4E08	sub_1000D4DE0	FMOV            S8, #1.5
__text:00000001000D5020	sub_1000D4F74	FMOV            S1, #1.5
__text:00000001000D5464	sub_1000D5248	FMOV            S2, #1.5
__text:00000001000D5A4C	sub_1000D594C	FMOV            S0, #1.5
__text:00000001000DA308	sub_1000DA294	FMOV            S1, #1.5
__text:00000001000E7A38	sub_1000E796C	FMOV            S14, #1.5
__text:00000001000F252C	sub_1000F2268	FMOV            D0, #1.5
__text:00000001000FF160	sub_1000FEFD4	FMOV            V0.2S, #1.5
__text:00000001000FF180	sub_1000FEFD4	FMOV            S13, #1.5
__text:00000001000FF2D0	sub_1000FEFD4	FMOV            S0, #1.5
__text:00000001000FF350	sub_1000FEFD4	FMOV            S0, #1.5
__text:00000001000FF44C	sub_1000FEFD4	FMOV            S3, #1.5
__text:00000001000FF868	sub_1000FF54C	FMOV            S1, #1.5
__text:0000000100101A4C	sub_1001019CC	FMOV            S2, #1.5
__text:0000000100107ED8	sub_100107C84	FMOV            S1, #1.5
__text:000000010010C260	sub_10010C194	FMOV            S14, #1.5
__text:000000010010D57C	sub_10010D480	FMOV            S0, #1.5
__text:000000010010D89C	sub_10010D5F8	FMOV            S0, #1.5
__text:0000000100111C9C	sub_1001119D8	FMOV            D0, #1.5
__text:000000010011FDCC	sub_10011FC28	FMOV            S1, #1.5
__text:000000010012136C	sub_10012126C	FMOV            S11, #1.5
__text:000000010012E92C	sub_10012E860	FMOV            S14, #1.5
__text:0000000100130640	sub_100130554	FMOV            S1, #1.5
__text:00000001001318BC	sub_1001316C0	FMOV            S1, #1.5
__text:0000000100137E94	sub_100137DB0	FMOV            S5, #1.5
__text:000000010013813C	sub_100137DB0	FMOV            S5, #1.5
__text:000000010013B390	sub_10013B1E0	FMOV            S1, #1.5
__text:000000010013C038	sub_10013BFB0	FMOV            S9, #1.5
__text:000000010013FCD0	sub_10013FBC8	FMOV            V1.2S, #1.5
__text:0000000100140BFC	sub_100140B8C	FMOV            S1, #1.5
__text:0000000100145B00	-[ViewController webViewPosUpd:]	FMOV            S1, #1.5
__text:0000000100149598	sub_100148F18	FMOV            V0.2S, #1.5
__text:000000010015A6C4	sub_10015A670	FMOV            S1, #1.5
__text:0000000100165B34	sub_100165960	FMOV            S0, #1.5
